brand,model,product_name,price,rating,shipping,url,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm),boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews
MSI,GTX 1070,MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti GAMING 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,695.0,4.0,,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-gaming-8g/p/N82E16814137254?Description=gtx,1683 MHz,MSI,2432,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,16-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"TWIN FROZR VI- Smooth heat pipes- Squared shape at bottom maximize heat transfer from the copper base plate- Zero Frozr- Stopping the fan in low-load situations, keeping a noise-free environment- Airflow Control technology- Deflectors thrusts air onto heat pipes for lower temperatures and better gamingTORX 2.0 FAN: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow- Traditional fan blade: Provides steady airflow to massive heat sink below- Double ball bearing: Strong and lasting core for years of smooth gamingMilitary Class certified Components- Certified to MIL-STD-810G standards for top stability and quality- Built with Hi-c CAP, Solid CAP, and New SFC components",ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,279 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 Ti GAMING 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",2-Way SLI,NONE,Dual Slot,Power Consumption: 180WRecommended PSU: 500W,180W,Yes,-52,278.892,139.954,1683.0,1607.0,8008.0,52.0
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TWF2-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,685.0,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-ti-gv-n107twf2-8gd/p/N82E16814932012?Description=gtx,1721 MHz (OC Mode)1683 MHz (Gaming Mode),GIGABYTE,2432,"11.02"" x 5.16""",NVIDIA,WINDFORCE 2X,1632 MHz (OC Mode)1607 MHz (Gaming Mode),1 x Dual-link DVI-D,28-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,Powered by GeForce GTX 1070 TiIntegrated with 8GB GDDR5 256-bit memory WINDFORCE 2X with Blade Fan DesignSupport up to 8K display @60HzBuild with 6+2 power phases,ATX,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N107TWF2-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,System PSU Limitation: 500W,180W,Yes,-13,279.908,131.064,1721.0,1632.0,8008.0,13.0
ZOTAC,GTX 1070,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710G-10P 8GB 256-Bit GDDR5 PCI Express 3.0 Video Card - Mini,349.99,4.0,,https://www.newegg.com/zotac-geforce-gtx-1070-ti-zt-p10710g-10p/p/N82E16814500431?Description=gtx,1683 MHz,ZOTAC,2432,"8.31"" x 4.92""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8.0 Gbps,Metal BackplateVR ReadySimultaneous Multi-ProjectionNVIDIA AnselNVIDIA G-SyncNVIDIA GameStreamVulkan APISingle Color LEDSuper Compact,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,211 mm,NONE,256-Bit,8GB,GDDR5,ZT-P10710G-10P,4,OpenGL 4.5,Microsoft Windows 10/8/7 x86/x64,NONE,ZOTAC GeForce GTX 1070 Ti MiniDual 6-pin to 8-pin power cableUser ManualDriver Disk,8-Pin,NONE,NONE,Dual Slot,500-watt power supply recommended180-watt max power consumption,180W,Yes,292 (90% Positive),211.074,124.968,1683.0,1607.0,8.0,292.0
MSI,GTX 1070,MSI GeForce GTX 1070 Founders Edition,620.0,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-fe-gtx-1070-founders-ed/p/N82E16814127941?Description=gtx,1683 MHz,MSI,1920,"10.55"" x 4.37""",NVIDIA,Single Fan,1506 MHz,1 x Dual-link DVI-D,6-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,4004 MHz,"""All Solid Capacitors- 10 years long lifetime under full load- Lower temperature and higher efficiency- Aluminum core for higher stabilityAfterburner Overclocking Utility- Wireless control through Android/iOS devices- Predator: In-game video recording- Kombustor: built-in DirectX12 benchmark- Supports multi-GPU setupsNVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gamingGeForce GTXVR Ready- NVIDIAs unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing""",ATX,GeForce GTX 1070 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5,GTX 1070 FOUNDERS ED,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,NONE,Yes,-8,267.97,110.998,1683.0,1506.0,4004.0,8.0
GIGABYTE,GTX 1070,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070IXOC-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,329.99,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1070-gv-n1070ixoc-8gd/p/N82E16814125893?Description=gtx,1746 MHz in OC Mode1721 MHz in Gaming,GIGABYTE,1920,"6.65"" x 5.16""",NVIDIA,Single Fan,1556 MHz in OC Mode1531 MHz in Gaming,2 x Dual-link DVI-D,22-Oct-20,DirectX 12,1 x DisplayPort 1.4,Yes,NONE,8008 MHz,Power by GeForce GTX 1070Integrated with 8GB GDDR5 256-bit memory90mm cooler with 3D active fanOne-click Super Overclocking17cm compact card size,ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,169 mm,7680 x 4320,256-Bit,8GB,GDDR5,GV-N1070IXOC-8GD,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-way SLI HB,NONE,Dual Slot,Recommended PSU: 500W,150W,Yes,292 (90% Positive),168.91,131.064,1746.0,1556.0,8008.0,292.0
ASUS,GTX 1070,"ASUS GeForce GTX 1070 Founders Edition, GTX1070-8G",620.0,4.0,,https://www.newegg.com/asus-geforce-gtx-1070-fe-gtx1070-8g/p/N82E16814126104?Description=gtx,1683 MHz,ASUS,1920,"10.50"" x 4.38""",NVIDIA,NONE,1506 MHz,1 x Dual-link DVI-D,29-Dec-18,DirectX 12,3 x DisplayPort,Yes,NONE,NONE,"ASUS GeForce GTX 1070 Founders Edition delivers the most advanced gaming experience- NVIDIA GeForce GTX 1070: Get up to 3X the performance and power efficiency of previous-generation GPUs.- Next-generation NVIDIA VRWorks Technologies: For low latency, plug-and-play compatibility, and immersive performance.- NVIDIA GameWorks: Provide an interactive and cinematic experience, as well as incredibly smooth gameplay.- Experience the fastest, smoothest, most power-efficient gaming experiences with ultra-fast FinFET, plus support for DirectX 12 features.- ASUS GPU Tweak II with XSplit Gamecaster: Intuitive performance tweaking and instant gameplay streaming.",NONE,GeForce GTX 1070 FE,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5,GTX1070-8G,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,NONE,NONE,Dual Slot,Power Consumption: up to 225W,NONE,Yes,-15,266.7,111.252,1683.0,1506.0,0.0,15.0
ASUS,GTX 1070,ASUS DUAL-GTX1070-8G graphics card - GF GTX 1070 - 8 GB - 90YV09T4-M0NA00,620.0,,,https://www.newegg.com/asus-geforce-gtx-1070-90yv09t4-m0na00/p/N82E16814126158?Description=gtx,1721 MHz,ASUS,1920,NONE,NVIDIA,NONE,1531 MHz,DVI-D (dual link),18-Jun-19,DirectX 12,2 x DisplayPort,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,2 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5,90YV09T4-M0NA00,NONE,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,150W,NONE,0 reviews,0.0,0.0,1721.0,1531.0,0.0,0.0
EVGA,GTX 1070,EVGA GeForce GTX 1070 Ti GAMING 08G-P4-5670-KR 8GB GDDR5,685.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-ti-08g-p4-5670-kr/p/N82E16814487386?Description=gtx,1683+ MHz,EVGA,2432,"10.50"" x 4.38""",NVIDIA,Blower,1607+ MHz,1 x DL-DVI-D,3-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Built for EVGA Precision XOCHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIMax Digital Resolution - 7680x4320Microsoft DirectX 12 APINVIDIA AnselNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0NVIDIA SLI w/ HB Bridge SupportOpenGL 4.6 SupportPCI Express 3.0Simultaneous Multi-ProjectionVR ReadyVulkan API",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5670-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,"500 Watts or greater power supply****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotOne available 8-pin PCI-E power dongleTotal Power Draw: 217 Watts****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor",180W,Yes,-11,266.7,111.252,1683.0,1607.0,8008.0,11.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 HYBRID GAMING, 08G-P4-6178-KR, 8GB GDDR5, LED, All-In-One Watercooling, DX12 OSD Support (PXOC)",635.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6178-kr/p/N82E16814487281?Description=gtx,1784 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Hybrid Cooler,1594 MHz,1 x Dual DVI-D,22-Feb-19,DirectX 12,3 x DisplayPort,Yes,NONE,8008 MHz,"""HYBRID Cooler.Built on Pascal - The EVGA GeForce GTX 1080/1070 HYBRID features the most advanced GPU architecture ever made, designed to be the engine of next generation gaming.Hydro Performance Without the Hassle - All in one cooling solution that is completely self-contained. No filling, no custom tubing, no maintenance. Just plug and play.Sleek Looks - Intelligent wiring system and sleeved tubing make this one sleek cooler without the messy wires.Copper Base Built for GPUs - A copper base that is BUILT for GPUs, the ONLY way to get the best temps possible.""",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6178-KR,4,OpenGL 4.5,Windows 7/8/8.1/10 32/64bit,NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,Minimum of a 500W power supply. An available 8-pin PCI-E power connectors,150W,Yes,-30,266.7,111.252,1784.0,1594.0,8008.0,30.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 FTW HYBRID GAMING, 08G-P4-6278-KR, 8GB GDDR5, RGB LED, All-In-One Watercooling with 10CM FAN, 10 Power Phases, Double BIOS, DX12 OSD Support (PXOC)",725.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6278-kr/p/N82E16814487264?Description=gtx,1797 MHz,EVGA,1920,"10.50"" x 5.06""",NVIDIA,Hybrid Cooler,1607 MHz,1 x Dual-Link DVI-D,22-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"EVGA Double BIOSSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.6 SupportPCI Express 3.0Max Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOC10 Phase Power DesignAdjustable RGB LEDHybrid ""All-in-One"" Watercooler",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6278-KR,4,OpenGL 4.6,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,2 x 8-Pin,NONE,NONE,Dual Slot,Minimum of a 500-Watt power supplyTwo available 8-pin or 6+2-pin PCI-E power donglesTotal Power Draw: 215 Watts,150W,Yes,-23,266.7,128.524,1797.0,1607.0,8008.0,23.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 GAMING, 8GB GDDR5, DX12 OSD Support, Graphics Cards (08G-P4-5170-KR)",620.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-gaming-08g-p4-5170-kr/p/N82E16814487277?Description=gtx,1683 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Blower Style Cooler,1506 MHz,1 x Dual Link DVI-D,13-Jun-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"""EVGAs newly designed blower style coolerCrafted to offer superior heat dissipation using an advanced vapor chamber and premium materialsFull support for the next generation of EVGA Precision XOC software and GPU Boost 3.0Full support for the next generation of EVGA Precision XOC software and GPU Boost 3.0 functionalityWhite LED LogoEVGA Warranty Support:Free 24/7 US-based Technical SupportFor watercooling enthusiasts, replacement of the stock cooler will NOT void your warranty  (Keep original cooler if support is needed)""",NONE,GeForce GTX 1070 GAMING,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5170-KR,4,OpenGL 4.5,Windows 7/8/8.1/10 32/64bit,NONE,NONE,8-Pin,SLI Ready,NONE,Dual Slot,Minimum of a 500W power supplyAn available 8-pin PCI-E power connector,150W,Yes,-6,266.7,111.252,1683.0,1506.0,8008.0,6.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 GAMING ACX 3.0, 08G-P4-6171-KR, 8GB GDDR5, LED, DX12 OSD Support (PXOC)",620.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6171-kr/p/N82E16814487249?Description=gtx,1683 MHz,EVGA,1920,"10.50"" x 4.38""",NVIDIA,Double Fans,1506 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-Projection VR Ready NVIDIA Ansel NVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNC NVIDIA GameStream NVIDIA GPU Boost 3.0 Microsoft DirectX 12 Vulkan API OpenGL 4.5 Support PCI Express 3.0 Max Digital Resolution - 7680 x4 320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVI Built for EVGA Precision XOC",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6171-KR,4,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,"500 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",150W,Yes,-7,266.7,111.252,1683.0,1506.0,8008.0,7.0
EVGA,GTX 1070,"EVGA GeForce GTX 1070 FTW DT  GAMING ACX 3.0, 8GB GDDR5, RGB LED, 10CM FAN, 10 Power Phases, DX12, 08G-P4-6274-KR",625.0,4.0,,https://www.newegg.com/evga-geforce-gtx-1070-08g-p4-6274-kr/p/N82E16814487262?Description=gtx,1683 MHz,EVGA,1920,"10.50"" x 5.06""",NVIDIA,Double Fans,1506 MHz,1 x Dual-Link DVI-D,13-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"PCI Express 3.0 Support\tEVGA Double BIOS\tNVIDIA GameStream Technology\tNVIDIAG-SYNC Ready\tOpenGL 4.5 Support\tSimultaneous Multi-Projection\tVR Ready\tNVlDIA Ansel\tNVIDIA SLI w/HB Bridge Support\tNVIDIA GPU Boost 3.0\tMicrosoft DirectX 12\tVulkan API\tMax Digital Resolution - 7680x4320\tHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIEVGAACX3.0 Cooling\t10 Phase Power Design\tAdjustable RGB LED",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-6274-KR,NONE,OpenGL 4.5,"Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit",NONE,NONE,Two available 8-pin or 6+2pin PCI-E power dongles,SLI Ready,NONE,Dual Slot,"500W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 com pliant motherboard with one graphics slot.",150W,Yes,-21,266.7,128.524,1683.0,1506.0,8008.0,21.0
PNY,GTX 1070,PNY GeForce GTX 1070 Ti DirectX 12 VCGGTX1070T8PB-CG 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,349.99,5.0,,https://www.newegg.com/pny-geforce-gtx-1070-ti-vcggtx1070t8pb-cg/p/N82E16814133727?Description=gtx,1683 MHz,PNY,2432,"11.02"" x 4.96""",NVIDIA,Blower Fan,1607 MHz,1 x DL-DVI-D,26-Oct-20,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,8 Gbps,VR ReadySimultaneous Multi-ProjectionNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Display Connectors- DisplayPort 1.4- HDMI 2.0b- DL-DVI- HDCP 2.2,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,2.2,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,280 mm,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX1070T8PB-CG,4,OpenGL 4.5,"Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86",NONE,NONE,8-Pin,SLI HB Bridge Supported,NONE,Dual Slot,TDP: 180WMINIMUM SYSTEM REQUIREMENTS:PCI Express-compliant mother board with one double-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorMinimum 500W or greater system power supply300MB of available hard-disk space2GB system memory (4GB or higher recommended)Internet connectionMax Digital Resolution - 7680 x 4320 @ 60Hz,180W,Yes,292 (90% Positive),279.908,125.984,1683.0,1607.0,8.0,292.0
PNY,GTX 1070,PNY GeForce GTX 1070 Ti DirectX 12 VCGGTX1070T8PB-BB 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support Video Card,680.0,4.0,,https://www.newegg.com/pny-geforce-gtx-1070-ti-vcggtx1070t8pb-bb/p/N82E16814133766?Description=gtx,1683 MHz,PNY,2432,"9.92"" x 4.40""",NVIDIA,Double Fans,1607 MHz,1 x DL-DVI-D,18-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8 Gbps,VR ReadySimultaneous Multi-ProjectionNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Display Connectors- DisplayPort 1.4- HDMI 2.0b- DL-DVI,NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,252 mm,7680 x 4320,256-Bit,8GB,GDDR5,VCGGTX1070T8PB-BB,4,OpenGL 4.5,"Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86",NONE,NONE,One 8-Pin,SLI HB Bridge Supported,NONE,Dual Slot,TDP: 180WPCI Express-compliant mother board with one dual-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorsMinimum 500W or greater system power supply300MB of available hard-disk space2GB system memory (4GB or higher recommended)Internet connectionMax Digital Resolution - 7680 x 4320 @ 60Hz,180W,Yes,-4,251.968,111.76,1683.0,1607.0,8.0,4.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GeForce GTX 1070 Quick Silver 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,620.0,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-quick-silver-8g-oc/p/N82E16814137046?Description=gtx,1797 MHz (OC Mode)1771 MHz (Gaming Mode)1683 MHz (Silent Mode),MSI,1920,"10.98"" x 5.51""",NVIDIA,Double Fans,1607 MHz (OC Mode)1582 MHz (Gaming Mode)1506 MHz (Silent Mode),1 x DL-DVI-D,12-May-20,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8108 MHz (OC Mode)8008 MHz (Gaming Mode)8008 MHz (Silent Mode),"Premium Quick Silver: TWIN FROZR VI- Play games in styleAccelerated by GAMING X horsepower and cooling its core to the fullest to top your game.- Smooth heat pipesSquared shape at bottom maximize heat transfer from the copper base plate.- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.TORX FAN 2.0: Supremely silent- Dispersion fan blade Steeper curved blade accelerating the airflow.- Traditional fan blade Provides steady airflow to massive heat sink below.- Double ball bearing Strong and lasting core for years of smooth gaming.Gaming App- Instant Performance Gain Unlock extra performance or keep your card silent during light use in one click.- LED control Full control on your RGB GAMING LEDs to set the mood.- Mobile APP Control your graphics card from your phone.",ATX,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,279 mm,7680 x 4320,256-Bit,8GB,GDDR5,GeForce GTX 1070 Quick Silver 8G OC,4,OpenGL 4.5,NONE,NONE,NONE,6-Pin / 8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,150W,Yes,-37,278.892,139.954,1797.0,1607.0,8108.0,37.0
MSI,GTX 1070,MSI GeForce GTX 1070 DirectX 12 GTX 1070 AERO ITX 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,319.99,5.0,,https://www.newegg.com/msi-geforce-gtx-1070-gtx-1070-aero-itx-8g-oc/p/N82E16814137092?Description=gtx,1721 MHz,MSI,1920,"6.89"" x 5.08""",NVIDIA,Single Fan,1531 MHz,1 x DL-DVI-D,22-Oct-20,DirectX 12,2 x DisplayPort 1.4,Yes,NONE,8008 MHz,"ITX Thermal Design- TORX FanDispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.- Zero Frozr Stopping the fan in low-load situations, keeping a noise-free environment.- Airflow Control Improves cooling efficiency by using advanced aerodynamics to focus the airflow.- Super Pipe Improved dissipation by using thick 8mm heat pipe in optimized layout.Afterburner Overclocking Utility- Wireless control through Android/iOS.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.",NONE,GeForce GTX 1070,NVIDIA GeForce GTX 10 Series,2.2,2 x HDMI 2.0,PCI Express 3.0 x16,NONE,175 mm,NONE,256-Bit,8GB,GDDR5,GTX 1070 AERO ITX 8G OC,4,OpenGL 4.5,NONE,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Power consumption: 150WRecommended PSU: 500W,150W,Yes,292 (90% Positive),175.00599999999997,129.032,1721.0,1531.0,8008.0,292.0
EVGA,GTX 1070,EVGA GeForce GTX 1070 Ti GAMING 08G-P4-5678-KR 8GB GDDR5 SC HYBRID & LED,690.0,5.0,,https://www.newegg.com/evga-geforce-gtx-1070-ti-08g-p4-5678-kr/p/N82E16814487390?Description=gtx,1683+ MHz,EVGA,2432,"10.50"" x 4.38""",NVIDIA,Hybrid Cooler,1607+ MHz,1 x DL-DVI-D,6-Aug-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,8008 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIMax Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCHybrid ""All-in-One"" WatercoolerBuilt in White LEDs",NONE,GeForce GTX 1070 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5,08G-P4-5678-KR,4,OpenGL 4.6,Windows 10 32/64bit    Windows 8 32/64bit    Windows 7 32/64bit,NONE,NONE,8-Pin,2-Way SLI,NONE,Dual Slot,Minimum of a 500 Watts power supplyOne available 8-pin PCI-E power dongleTotal Power Draw: 217 Watts,180W,Yes,-4,266.7,111.252,1683.0,1607.0,8008.0,4.0
