3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['OC Mode: 1708 MHzGaming Mode: 1683 MHz'],['GIGABYTE'],['3584'],"['11.54"" x 5.59""']",['NVIDIA'],['WINDFORCE STACK'],['OC Mode: 1594 MHzGaming Mode: 1569 MHz'],['1 x Dual-Link DVI-D'],"['December 04, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11010 MHz'],['Powered by GeForce GTX 1080 TiIntegrated with 11GB GDDR5X 352-bit memory interfaceWINDFORCE Stack 3X 100mm Fan Cooling SystemAdvanced Copper Back Plate CoolingAORUS VR Link provides the best VR experienceRGB Fusion - 16.7M customizable color lightingProtection Metal Back PlateBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['293 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TAORUS-11GD'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],['AORUS'],,['Triple Slot'],,['Recommended PSU: 600W'],['250W'],['Yes'],(127)
,['1582 MHz'],['MSI'],['3584'],,['NVIDIA'],['Single Fan'],['1480 MHz'],,"['November 11, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['11010 MHz'],"[""Core Clock & Memory & Output- 1582 MHz / 1480 MHz (Boost / Base)- 11264MB GDDR5 / 11010 MHz- DisplayPort x 3 / HDMIAll Solid Capacitors- 10 years long lifetime under full load- Lower temperature and higher efficiency- Aluminum core for higher stabilityAfterburner Overclocking Utility- Wireless control through Android/iOS devices- Predator: In-game video recording- Kombustor: built-in DirectX12 benchmark- Supports multi-GPU setupsNVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gamingGeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality, and latency to ensure your VR experience is nothing short of amazing""]",,['GeForce GTX 1080 Ti FE'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti Founders Edition'],['4'],['OpenGL 4.5'],,,,['1 x 6-pin1 x 8-pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 250WRecommended PSU: 600W'],,['Yes'],(21)
,['OC Mode: 1746 MHzGaming Mode: 1721 MHz'],['GIGABYTE'],['3584'],"['11.54"" x 5.59""']",['NVIDIA'],['WINDFORCE STACK'],['OC Mode: 1632 MHzGaming Mode: 1607 MHz'],['1 x Dual-Link DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['OC mode: 11448 MHzGaming mode: 11232 MHz'],['Powered by GeForce GTX 1080 TiIntegrated with 11GB GDDR5X 352-bit memory interfaceWINDFORCE Stack 3X 100mm Fan Cooling SystemAdvanced Copper Back Plate CoolingAORUS VR Link provides the best VR experienceRGB Fusion - 16.7M customizable color lightingMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['293 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TAORUS X-11GD'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],['AORUS'],,['Triple Slot'],,['System PSU Limitation: 600W'],['250W'],['Yes'],291 (90% Positive)
,['1683 MHz (OC Mode) 1657 MHz (Gaming Mode) 1582 MHz (Silent Mode)'],['MSI'],['3584'],"['11.42"" x 5.51""']",['NVIDIA'],['Double Fans'],['1569 MHz (OC Mode) 1544 MHz (Gaming Mode) 1480 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['December 24, 2019']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['11124 MHz (OC Mode) 11016 MHz (Gaming / Silent )'],"['The Ultimate GAMING: TWIN FROZR VI - Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate. - Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment. - Airflow Control: Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming. TORX FAN 2.0: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. - Double ball bearing: Strong and lasting core for years of smooth gaming. Gaming App - Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click. - LED control: Full control on your RGB GAMING LEDs to set the mood. 2.5-Slot Width']",['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0 x16'],,['290 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GeForce GTX 1080 Ti GAMING X 11G'],['2'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],,,['2.5-Slot'],,['Power consumption: 250W Recommended PSU: 600W'],['250W'],['Yes'],291 (90% Positive)
,['1670 MHz'],['EVGA'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1556 MHz'],['1 x DVI'],"['March 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11000 MHz'],"['Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIOpenGL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCiCX CoolingNew vented heatsink fin design and pin fins for optimized airflowRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipation']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6393-KR OEM'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",['GTX 1080 Ti SC2'],,['6-Pin / 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,"['600 Watts or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],['Yes'],291 (90% Positive)
,['1670 MHz'],['EVGA'],['3584'],"['10.50"" x 4.38""']",['NVIDIA'],['Hybrid Cooler'],['1556 MHz'],['1 x Dual-Link DVI-D'],"['November 26, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['EVGA GeForce GTX 1080 Ti HYBRID cooler, an ""all in one"" water cooling solution that significantly lowers the GPU and VRAM operating temperatures. Best of all? The water cooler is completely self contained, with an included 120mm radiator and fan, no filling, no custom tubing, and no maintenance. Just plug and play!  Peace of Mind Gaming  - 9 additional temp sensors to monitor memory and PWN - Full control with EVGA Precision XOC - Safety fuse to protect components from damage due to improper installation or other component failures - Hybrid ""All-in-One"" Watercooler - LED Logo: White - Dedicated Memory Plate that makes DIRECT contact with the water cooling block. Giving the lowest memory temperatures possible']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['267 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6598-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64 bit']",,,['1 x 8-Pin & 1 x 6-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Minimum of a 600W power supply An available 6-pin PCI-E power connector and an available 8-pin PCI-E power connector Total Power Draw: 250 Watts'],['250W'],['Yes'],0 reviews
,['1.63 GHz'],['ROG'],,,['NVIDIA'],,['1.52 GHz'],['Yes'],"['November 09, 2018']",,['Yes'],,,,,['Plug-in Card'],['GTX 1080 Ti'],,,['Yes'],,,,,['352-Bit'],['11GB'],['GDDR5X'],,,['OpenGL'],,['ROG-STRIX-GTX1080TI-11G-GAMING'],,,,,['GTX 10'],,,,,,,0 reviews
,['1632 MHz'],['ASUS'],['3584'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1518 MHz'],['1 x DVI'],"['November 21, 2019']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['11100 MHz'],,,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0 x16'],,['298 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['ROG-STRIX-GTX1080TI-11G-GAMING'],['4'],,,['ROG-STRIX-GTX1080TI-11G-GAMING'],,['2 x 8-Pin'],,['SLI Ready'],['ROG'],,['Dual Slot'],,,['250W'],['Yes'],29 (90% Positive)
,['1645 MHz'],['MSI'],['3584'],"['12.60"" x 5.55""']",['NVIDIA'],['Triple Fans'],['1531 MHz'],['1 x DL-DVI-D'],"['January 18, 2019']",['DirectX 12'],['2 x DisplayPort'],['Yes'],,['11016 MHz'],"['Triple Force Architecture- TriFrozr Thermal Design: Triple PWM fans with Independent Control System on Advanced Thermal Design.- Propeller Blade: Produces 20% more airflow and less noise than traditional fan designs.- SuperPipe: 8mm Superpipes transfer heat much faster to the heat sink under PWM fans, and highly improve dissipation efficiency.- Zero Frozr: Fans stop spinning in low load to keep the card quiet and increase lifetime.Afterburner Overclocking Utility- Wireless control through mobile devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI'],['PCI Express 3.0 x16'],,['320 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti DUKE 11G OC'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 250WRecommended PSU: 600W'],['250W'],['Yes'],(48)
,['1683 MHz  (OC Mode)1657 MHz (Gaming Mode) 1582 MHz (Silent Mode)'],['MSI'],['3584'],"['12.80"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1569 MHz (OC Mode)1544 MHz (Gaming Mode) 1480 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['November 28, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['11124 MHz (OC) 11016 MHz (Gaming/Silent)'],"['MSI AfterburnerThe ultimate overclocking software with advanced control options and real-time hardware monitor.Military Class 4 ComponentsUsing only the highest quality components means you get reliable and stable in-game performance.RGB Mystic LightCustomize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.ZERO FROZREliminates fan noise by stopping the fans in low-load situations so you can focus on your game.Double Ball BearingsStrong and lasting core for the TORX 2.0 Fans to provide years of smooth and silent gaming.TORX FAN 2.0Award-winning fan design combining two different fin designs for cool & quiet gaming.TRI-FROZR THERMAL DESIGNUsing three of the award-winning TORX 2.0 Fans with Double Ball Bearings, Tri-Frozr is the pinnacle of air cooling.WAVE-CURVED COOLING SYSTEMMSI exclusive Wave-curved fins increase 10% heat dissipation area compared to traditional fins.']",['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0'],['PCI Express 3.0 x16'],,['325 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti GAMING X TRIO'],['4'],['OpenGL 4.5'],,,"['Accessories:6-pin to 8-pin power cable x 1, Graphics Card Support Bracket x 1']",['2 x 8-Pin'],,['2-Way SLI'],,,['2.5-slot'],,['Power Consumption: 250WRecommended PSU: 600W'],['250W'],['Yes'],400 (90% Positive)
,['1632 MHz (OC Mode)1607 MHz (Gaming Mode)'],['ASUS'],['3584'],"['11.73"" x 5.28""']",['NVIDIA'],['Triple Fans'],['1518 MHz (OC Mode)1493 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D'],"['November 09, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['11100 MHz (OC Mode)11010 MHz (Gaming Mode)'],['ROG Strix GeForce GTX 1080 Ti 11GB GDDR5X with Aura Sync RGB for best VR & 4K gaming- NVIDIA GeForce GTX 1080 Ti is the fastest gaming GPU that delivers 35% faster performance than the GeForce GTX 1080.- MaxContact Technology that is 2X more contact with GPU for improved thermal transfer.- Patented Wing-Blade IP5X-Certified Fans for maximum airflow and longer fan lifespan.- ASUS FanConnect II equips with hybrid controlled fan headers for optimal system cooling.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- ASUS Aura Sync RGB LED synchronization enables a gaming system personalization.- VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.- GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.'],,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],,,['298 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['STRIX-GTX1080TI-11G-GAMING'],['4'],,,,['Accessories:1 x Power cable1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG'],,['Dual Slot'],,,['250W'],['Yes'],(71)
,['1848 MHz'],['PNY'],['2560'],"['12.00"" x 5.03""']",['NVIDIA'],['Triple Fans'],['1708 MHz'],['1 x DL-DVI-D'],"['February 03, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10 GBPS'],['Factory OverclockedPNY Silent XLR8 Triple CoolerSimultaneous Multi-ProjectionNVIDIA Ansel SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Vulkan API SupportMax Digital Resolution - 7680 x 4320 @ 60 Hz** 7680 x 4320 @ 60 Hz RGB 8-bit with dual DisplayPort connectors or 7680 x 4320 @ 60 Hz YUV420 8-bit with DisplayPort 1.3 connector.'],,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['305 mm'],['7680 x 4320 @ 60 HZ (Digital)'],['256-Bit'],['8GB'],['GDDR5X'],['RKMX1080N3I8GS3KTM'],['Yes'],['OpenGL 4.5'],,,,['8-Pin'],,['SLI HB Bridge Supported'],,,['Dual Slot'],,"['TDP: 180WPCI Express-compliant motherboard with one double-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorMinimum 500W or greater system power supply*300MB of available hard-disk space2GB system memory (4GB or higher recommended)Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.']",['180W'],['Yes'],0 reviews
,['1771 MHz'],['MSI'],['2560'],"['10.59"" x 4.37""']",['NVIDIA'],['Single Fan'],['1632 MHz'],['1 x DL-DVI-D'],"['January 18, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],"[""All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""]",['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['269 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 AERO 8G OC'],['4'],['OpenGL 4.5'],,,,['8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 180WRecommended Power Supply: 500W'],['180W'],['Yes'],(26)
,['1797 MHz'],['MSI'],['2560'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1657 MHz'],['1 x DL-DVI-D'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10010 MHz'],"['Armor 2X Thermal Design- TORX FanDispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.- Zero FrozrStopping the fan in low-load situations, keeping a noise-free environment.- Advanced Airflow Control technologyImproves cooling efficiency by using advanced aerodynamics to focus airflow.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,['279 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX 1080 ARMOR 8G OC'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 180WRecommended Power Supply: 500W'],['180W'],['Yes'],291 (90% Positive)
,['1683 MHz (OC Mode)1657 MHz (Gaming Mode)1582 MHz (Silent Mode)'],['MSI'],['3584'],"['11.42"" x 5.51""']",['NVIDIA'],['Double Fans'],['1569 MHz (OC Mode)1544 MHz (Gaming Mode)1480 MHz (Silent Mode)'],['1 x DL-DVI-D'],"['November 28, 2018']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['11124 MHz (OC Mode)11016 MHz (Gaming / Silent )'],"['The Ultimate GAMING: TWIN FROZR VI- Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate.- Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment.- Airflow Control: Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming.TORX FAN 2.0: Supremely silent- Dispersion fan blade: Steeper curved blade accelerating the airflow.- Traditional fan blade: Provides steady airflow to massive heat sink below.- Double ball bearing: Strong and lasting core for years of smooth gaming.Gaming App- Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click.- LED control: Full control on your RGB GAMING LEDs to set the mood.2.5-Slot Width']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0 x16'],,['290 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GeForce GTX 1080 Ti GAMING X 11G'],['2'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,['2-Way SLI'],,,['2.5-Slot'],,['Power consumption: 250WRecommended PSU: 600W'],['250W'],['Yes'],(96)
,['1620 MHz'],['MSI'],['3584'],"['10.59"" x 4.37""']",['NVIDIA'],['Single Fan'],['1506 MHz'],,"['November 16, 2018']",['DirectX 12'],['3 x DisplayPort'],,,['11016 MHz'],"[""All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX12 benchmark.- Supports multi-GPU setups.NVIDIA G-SYNC- Synchronizes the display refresh to your GeForce GTX GPU for the fast, smooth gaming.GeForce GTX VR Ready- NVIDIA's unique set of features ensure you get the right level of performance, image quality and latency to ensure your VR experience is nothing short of amazing.""]",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,['269 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GTX 1080 Ti AERO 11G OC'],['4'],['OpenGL 4.5'],,,,"['1 x 6-pin, 1 x 8-pin']",,['2-Way SLI'],,,['Dual Slot'],,['Power consumption: 250WRecommended PSU: 600W'],['250W'],['Yes'],(9)
,['1683 MHz'],['EVGA'],['3584'],"['11.37"" x 5.06""']",['NVIDIA'],['Hybrid Cooler'],['1569 MHz'],['1 x Dual-Link DVI'],"['November 24, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['11016 MHz'],"['EVGA GeForce GTX 1080 Ti FTW3 HYBRID, an ""all in one"" water cooling solution that significantly lowers the GPU and VRAM operating temperatures. Best of all? The water cooler is completely self contained, with an included 120mm radiator and fan, no filling, no custom tubing, and no maintenance. Just plug and play!iCX Technology - Peace of Mind Gaming - 9 additional temp sensors to monitor memory and PWN - Full monitoring and control with EVGA Precision XOC - Safety fuse to protect components from damage due to improper installation or other component failures - Hybrid ""All-in-One"" Watercooler - Customizable RGB LED - Dedicated Memory Plate that makes DIRECT contact with the water cooling block. Giving the lowest memory temperatures possible.']",,['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],,['289 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['11G-P4-6698-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64 bit']",,,['2 x 8-pin or 6+2-pin PCI-E connectors'],,['2-Way SLI'],,,['Dual Slot'],,"['600W or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['250W'],['Yes'],(61)
,['1733 MHz'],['ASUS'],['2560'],"['10.50"" x 4.37""']",['NVIDIA'],['Single Fan'],['1607 MHz'],['1 x DVI-D'],"['January 25, 2019']",,['2 x DisplayPort 1.4'],,,['10010 MHz'],"['ASUS Turbo GeForce GTX 1080 graphics deliver the sweet spot of performance- Dual-ball Bearing Fan runs smoother by reducing friction, further improving 4X longer card lifespan and cooling efficiency.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- VR-friendly HDMI Ports for immersive virtual reality experiences.- Customizable Backlit Logo gives your system a truly unique look with your own LED backlit logo design.- GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1080'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['2 x HDMI 2.0'],['PCI Express 3.0'],,['266.7mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['TURBO-GTX1080-8G'],,['OpenGL 4.5'],,,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Power Consumption: up to 225W'],['180W'],['Yes'],(32)
,['1746 MHz (OC Mode)1721 MHz (Gaming Mode)'],['GIGABYTE'],,"['10.50"" x 5.88""']",['NVIDIA'],['WATERFORCE'],['1632 MHz (OC Mode)1607 MHz (Gaming Mode)'],['1 x Dual-Link DVI-D (Thin)'],"['July 21, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,['11448 MHz (OC Mode)11232 MHz (Gaming Mode)'],,['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['3 x HDMI'],['PCI Express 3.0 x16'],,['267 mm'],,['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TAORUSX WB-11GD'],['4'],['OpenGL 4.5'],,,,['2 x 8-Pin'],,,['AORUS'],,['Dual Slot'],['3584 Stream Processors'],['System PSU Limitation: 600W'],['250W'],['Yes'],(34)
,['1657 MHz in OC mode 1632 MHz in Gaming mode'],['GIGABYTE'],['3584'],"['11.02"" x 4.49""']",['NVIDIA'],['Triple Fans'],['1544 MHz in OC mode 1518 MHz in Gaming mode'],['1 x Dual-Link DVI-D (thin)'],"['December 07, 2018']",['DirectX 12'],['3 x DisplayPort 1.4 (Gold Plated)'],['Yes'],,['11010 MHz'],['Powered by GeForce GTX 1080 TiIntegrated with 11GB GDDR5X 352-bit memory interfaceWINDFORCE 3X Cooling SystemRGB fusion - 16.8M customizable color lightingBuilt for Extreme Overclocking 8+2 Power Phases'],['ATX'],['GeForce GTX 1080 Ti'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b (Gold Plated)'],['PCI Express 3.0 x16'],,['280 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR5X'],['GV-N108TGAMINGOC BLACK-11GD'],['4'],['OpenGL 4.5'],,,,['6-Pin / 8-Pin'],,,,,['Dual Slot'],,['Recommended PSU: 600W'],['250W'],['Yes'],(9)
,['1733 MHz'],['ASUS'],['2560'],"['10.50"" x 4.38""']",['NVIDIA'],['Blower'],['1607 MHz'],['1 x Dual-link DVI-D'],"['January 21, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['10000 MHz'],"['ASUS GeForce GTX 1080 Founders Edition delivers the most advanced gaming experience- NVIDIA GeForce GTX 1080: Get up to 3X the performance and power efficiency of previous-generation GPUs.- Next-generation NVIDIA VRWorks Technologies: For low latency, plug-and-play compatibility, and immersive performance.- NVIDIA GameWorks: Provide an interactive and cinematic experience, as well as incredibly smooth gameplay.- Experience the fastest, smoothest, most power-efficient gaming experiences with ultra-fast FinFET and high-bandwidth GDDR5X technologies, plus support for DirectX 12 features.- ASUS GPU Tweak II with XSplit Gamecaster: Intuitive performance tweaking and instant gameplay streaming.']",,['GeForce GTX 1080 FE'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,,['7680 x 4320'],['256-Bit'],['8GB'],['GDDR5X'],['GTX1080-8G'],,['OpenGL 4.5'],,,,['8-Pin'],,['SLI Ready'],,,['Dual Slot'],,['Power Consumption: up to 225W'],,['Yes'],671 (86% Positive)
