3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Low Profile Bracket Included ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,RoHS Compliant ,SLI Support ,Series ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Tuner ,Virtual Reality Ready ,review_numbers
['Yes'],['1075 MHz'],['ASUS'],['2816'],"['12.01"" x 5.99""']",['NVIDIA'],['Triple Fans'],['1000 MHz'],['1 x DVI-I'],"['October 07, 2020']",,['3 x DisplayPort'],['Yes'],['7010 MHz'],['ASUS STRIX GTX 980 Ti delivers truly elite gaming experienceDirectCU III with Triple Wing-Blade 0dB Fan Design delivers maximum air flow with 30% cooler and 3X quieter performance.AUTO-EXTREME Technology with Super Alloy Power II delivers premium quality and best reliability.Pulsating STRIX LED makes a statement while adding style to your system.STRIX GPU-Fortifier relieves physical stress around the GPU in order to protect it.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.'],,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,['305 mm'],['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['STRIX-GTX980TI-DC3-6GD5-GAMING'],,['OpenGL 4.5'],,,,['Accessories:1 x Power cable1 x STRIX Laser StickerSoftware:ASUS GPU Tweak II & Driver'],['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 375W'],['260W'],,['Yes'],0 reviews
,['1279 MHz'],['ASUS'],['2048'],"['11.36"" x 5.3""']",['NVIDIA'],['Double Fans'],['1178 MHz'],['1 x DVI-I'],"['April 08, 2019']",,['3 x DisplayPort'],,['7010 MHz'],"['1279 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time – so others can watch live as games are played.']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['STRIX-GTX980-DC2OC-4GD5'],,['OpenGL 4.4'],,,,,['6-Pin / 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['up to 300W additional 6+8 pin PCIe power required'],['165W'],,,291 (90% Positive)
['Yes'],['1354 MHz in OC Mode1329 MHz in Gaming Mode'],['GIGABYTE'],['2048'],"['12.28"" x 5.08""']",['NVIDIA'],['WINDFORCE 3X'],['1253 MHz in OC Mode1228 MHz in Gaming Mode'],['1 x Dual-link DVI-I1 x DVI-D'],"['April 14, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"[""WINDFORCE 3X 600W cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industry's best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1228 MHz / BOOST: 1329 MHzSystem power supply requirement: 600W (with two 8-pin external power connectors)""]",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GV-N980G1 GAMING-4GD'],['4'],['OpenGL 4.4'],,,,,['2 x 8-Pin'],,,['SLI Ready'],['G1 Gaming'],['Dual Slot'],,['Power requirement: 600W'],['165W'],,['Yes'],(82)
['Yes'],['1304 MHz in OC Mode1279 MHz in Gaming Mode'],['GIGABYTE'],['2048'],"['12.28"" x 5.08""']",['NVIDIA'],['Triple Fans'],['1203 MHz in OC Mode1178 MHz in Gaming Mode'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['May 12, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"[""WINDFORCE 3X cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industry's best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / Dual-link DVI-D / HDMI / DisplayPort*3BASE: 1178 MHz / BOOST: 1279 MHz (1203 / 1304 MHz in OC Mode)System power supply requirement: 600W (with two 8-pin external power connectors)""]",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['Digital: 4096 x 2160Analog: 2048 x 1536'],['256-Bit'],['4GB'],['GDDR5'],['GV-N980WF3OC-4GD (rev. 1.0/1.1)'],['Multi-view: 4'],['OpenGL 4.4'],,,,,['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Power requirement: 600W'],['165W'],,['Yes'],(14)
['Yes'],['1329 MHz'],['GIGABYTE'],['2048'],"['12.28"" x 5.08""']",['NVIDIA'],['WINDFORCE 3X'],['1228 MHz'],['1 x Dual-link DVI-I1 x DVI-D'],"['July 11, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010MHz'],"[""WINDFORCE 3X 600W cooling systemFlex Display Technology(patent-pending)Powered by NVIDIA GeForce GTX 980 GPUIntegrated with industry's best 4GB GDDR5 memory 256-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3BASE: 1228 MHz / BOOST: 1329 MHzSystem power supply requirement: 600W (with two 8-pin external power connectors)""]",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GV-N980G1 GAMING-4GD'],['4'],['OpenGL 4.4'],,['G1 Gaming'],,,['2 x 8-Pin'],,,['SLI Ready'],['G1 Gaming'],['Dual Slot'],,['Power requirement: 600W'],['165W'],,,(5)
['Yes'],['1291MHz (OC Mode)1241MHz (Gaming Mode)'],['GIGABYTE'],,"['11.61"" x 5.08""']",['NVIDIA'],['WINDFORCE 3X'],['1190MHz (OC Mode)1152MHz (Gaming Mode)'],['1 x Dual-link DVI-I1 x Dual-link DVI-D'],"['August 26, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"[""WINDFORCE 3X 600W cooling systemFlex Display TechnologyPowered by NVIDIA GeForce GTX 980 TI GPUIntegrated with industry's best 6GB GDDR5 memory 384-bit memory interfaceFeatures Dual-link DVI-I / DVI-D / HDMI / DisplayPort*3Boost:1291 MHz / Base: 1190 MHz(1241/1152 MHz in Gaming Mode)System power supply requirement: 600W (with two 8-pin external power connectors)Process Technology: 28 nm""]",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['Digital: 4096 x 2160Analog: 2048 x 1536'],['384-Bit'],['6GB'],['GDDR5'],['GV-N98TG1 GAMING-6GD'],['4'],['OpenGL 4.4'],,,,,['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],['2816 Stream Processors'],['600W'],['260W'],,,291 (90% Positive)
['Yes'],['1190 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1102 MHz'],['1 x Dual-link DVI-I'],"['February 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['EVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Fans use Double Ball Bearing for 400% longer lifespanPreinstalled EVGA Backplate for extra reinforcement and great aestheticsEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\'s 24/7 Techinical Support- Don\'t forget EVGA\'s Around the Clock Tech Support!']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4995-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker'],['6-Pin / 8-Pin'],['400MHz'],,"['2 Way, 3 Way, or 4 Way SLI']",,['Dual Slot'],,['Max Power Draw: 250WRecommended PSU: 600W'],['260W'],,['Yes'],(270)
,['1228 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Hybrid Cooler'],['1140 MHz'],['1 x Dual-link DVI'],"['March 27, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['First Ever, Hybrid Cooled GTX 980TiEVGA ""All in One Cooling"" w/o the Hassle- Keeps GPU 20-30C Cooler- No filling, no custom tubing, no maintenance. Just Plug and Play! - Sleek look- Virtually Silent Operation, fan speed based on GPU temperature- Built in Radiator and Fan (can be swapped or customized)- Separate VRM and Memory Cooling from GPUEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\'s 24/7 Techinical Support- Don\'t forget EVGA\'s Around the Clock Tech Support!']",,['GeForce GTX 980 Ti Hybrid'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-1996-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['Accessories:1 x Driver CD1 x Installation Guide1 x DVI-I to VGA Adapter 1 x 4-Pin(2) to 6-Pin Adapter1 x 6-Pin(2) to 8-Pin Adapter2 x EVGA Velcro Ties4 x Zip Ties1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker'],['6-Pin / 8-Pin'],['400MHz'],,"['2 Way, 3 Way, or 4 Way SLI']",,['Dual Slot'],,['Max Power Draw: 250WRecommended PSU: 600W'],['260W'],,['Yes'],(119)
,['1279 MHz'],['ASUS'],['2048'],"['11.36"" x 5.30""']",['NVIDIA'],['Double Fans'],['1178 MHz'],['1 x DVI-I'],"['October 07, 2020']",,['3 x DisplayPort'],,['7010 MHz'],"['1279 MHz Boost clock for better performance and outstanding gaming experience.DirectCU II with 0dB fan technology lets you enjoy light games in complete silence, and hardcore gaming 30% cooler with 3X-quieter performance!DIGI+ VRM with 10-phase Super Alloy Power delivers precise digital power for superior efficiency, reliability, and performance.GPU Tweak helps you modify clock speeds, voltages, fan performance and more, all via an intuitive interface.GPU Tweak Streaming share on-screen action in real time - so others can watch live as games are played.']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['STRIX-GTX980-DC2OC-4GD5'],,['OpenGL 4.4'],,,,['Accessories:1 x Power cable'],['6-Pin / 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 300W'],['165W'],,['Yes'],0 reviews
['Yes'],['1342 MHz'],['ASUS'],,"['11.70"" x 6.00""']",['NVIDIA'],['With Fan'],['1241 MHz'],['1 x Native Dual-link DVI-I'],"['October 07, 2020']",,['3 x Native DisplayPort 1.2'],['Yes'],['7010 MHz'],"['1342 MHz Boost Clock:1342 MHz Boost clock, 126 MHz higher than reference, for better performance and outstanding gaming experienceGigantic 4GB GDDR5 Memory:On-boarcl memory for the best gaming experience & the best resolutionNVIDIA GPU Boost 2.0Technology for intelligent monitoring of clock speed, ensuring that the GPU runs at its peak and the game is at its highest frame rate possible. It offers new levels of customization, including GPU temperature target, overclocking, and unlocked voltage.NVIDIA Adaptive V-Sync :NVIDIA Adaptive Vertical Sync adjusts VSync to current frame rates for maximum payabilityNVIDIA PhysX ready:Dynamic visual effects like blazing explosions, reactive debris, realistic water, and lifelike characters.SLI Support:Multi-GPU technology for extreme performanceNVIDIA 3D Vision Surround Ready:Bring games to life with NVIDIA Surround multi-monitor gaming on a single cardPCIE 3.0:Delivers double the bandwidth per lane of PCIe Gen 2 for faster GPU - CPU communication']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x Native HDMI 2.0'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['MATRIX-GTX980-P-4GD5'],,['OpenGL 4.4'],,,,['Accessory1 x Power Cable1 x ROG Metal Sticker'],,,,['SLI Ready'],['ROG'],['Dual Slot'],['2048 Stream Processors'],,['165W'],,['Yes'],0 reviews
['Yes'],['OC Mode: 1317 MHzGaming Mode: 1291 MHz'],['ASUS'],['2816'],"['12.01"" x 5.99""']",['NVIDIA'],['Triple Fans'],['OC Mode: 1216 MHzGaming Mode: 1190 MHz'],['1 x Native DVI'],"['October 07, 2020']",,['3 x Native DisplayPort'],['Yes'],['7200 MHz'],"['Factory-overclocked at 1291 MHz GPU boost clock, with 7200 MHz memory speed; 1317 MHz GPU boost clock in OC mode provides faster gaming experience.Strix drives DirectCU III with Triple Patented Wing-Blade 0dB Fan Design that lets you enjoy games like League of Legends and StarCraft in absolute silence! And during heavy loading, Strix performs 30% cooler and 3X quieter than reference.ASUS uses 12+2 phase AUTO-EXTREME Technology with Super Alloy Power II which is premium aerospace-grade quality and reliability.AUTO-EXTREME technology is an industry-first 100% automated production process.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and lets you stream your gameplay instantly.']",,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x Native HDMI 2.0'],['PCI Express 3.0'],,,,['384-Bit'],['6GB'],['GDDR5'],['STRIX-GTX980TI-DC3OC-6GD5-GAMING'],,['OpenGL 4.5'],,,,['Adapter/Cable Bundled:1 x Power Cable1 x STRIX Laser StickerSoftware Bundled:ASUS GPU Tweak & Driver'],['2 x 8-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Power Consumption: up to 375W'],['260W'],,['Yes'],0 reviews
['Yes'],['1076 MHz'],['MSI'],['2816'],"['10.83"" x 4.33""']",['NVIDIA'],['Single Fan'],['1000 MHz'],['1 x DL-DVI-I'],"['December 05, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"['All Solid Capacitors- 10 years long lifetime under full load.- Lower temperature and higher efficiency.- Aluminum core for higher stability.Afterburner Overclocking Utility- Wireless control through Android/iOS devices.- Predator: In-game video recording.- Kombustor: built-in DirectX 12benchmark.- Supports multi-GPUsetupsGPU Boost 2.0 Technology- Ensures the GPU runs at its peak performance and games at their highest frame rate possible.- Offer new levels of customization including GPU temperature target, overclocking, and unlocked voltage3DVision Surround- Supports 3 displays in full stereoscopic 3D with a single card.- Supports up to 4 displays with a single card']",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,['275 mm'],,['384-Bit'],['6GB'],['GDDR5'],['GTX 980Ti 6GD5'],,['OpenGL 4.4'],,,,,['6-Pin / 8-Pin'],,,['Quad SLI'],,,,['Power Consumption: 250W'],['260W'],,['Yes'],0 reviews
,['1342 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],['Single Fan'],['1241 MHz'],['1 x DVI'],"['January 04, 2019']",,['3 x DisplayPort'],['Yes'],['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2982-KR'],,,,,,,['2 x 6-Pin'],,,,,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,['Yes'],(88)
,['1367 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1266 MHz'],['1 x DVI'],"['December 10, 2018']",['DirectX 12'],['3 x DisplayPort'],['Yes'],,"['EVGA ACX 2.0This card features EVGA ACX 2.0 cooling. With optimized Swept fan blades, double ball bearings and an extreme low power motor, EVGA ACX 2.0 delivers more air flow with less power, unlocking additional power for the GPU.Dynamic Super Resolution TechnologyEnable the detail of 4K monitors, on a 1080P display. DSR produces smoother images by rendering a game at a high resolution, then downscaling it to the native resolution of the display using advanced filtering.Super-Smooth and Stutter-FreeGeForce GTX 980 and 970 cards support tear-free, super-fast NVIDIA G-Sync monitor display technology, including 4K. Together, these technologies provide the most immersive and competitive gaming experiences possible.']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-2983-KR'],,['OpenGL 4.4'],,,,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,['Yes'],(232)
['Yes'],['1418 MHz'],['EVGA'],['2048'],"['11.00"" x 5.94""']",['NVIDIA'],['Double Fans'],['1304 MHz'],['1 x Dual-link DVI-I'],"['January 04, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['GTX 980 K|NGP|N Overclocking Perfection, 14+3 Phase Fully Digital VRM- Includes single slot bracket to convert to single slot card with waterblock- Quick Triple BIOS switch- RGB LED on cardEVGA ""ACX 2.0+"" Cooling TechnologyFine-Tuned to PerfectionFeatures:- dBi-DB Noise Inverter: Silent, Generating 0dB of Noise- Straight Heat Pipes: Offers 6% better heat dissipation than bent heat pipes- Memory MOSFET Cooling Plate: Reduces up to 15°C memory temperature and up to 13°C MOSFET temperature- Surrounded in premium metal shroud- Fans use Double Ball Bearing for 400% longer lifespanEVGA PrecisionX 16 and OC Scanner X- EVGA Fine Tuning Software- Tune your GPU clock offsets, memory clock offsets, fan speeds, and much more- Built-in artifact scanning, benchmarking tools, GPU vitals information, CPU burn in utility, and built-in log functionality- Everything you need for your GeForce overclocking experienceEVGA\'s 24/7 Techinical Support- Don\'t forget EVGA\'s Around the Clock Tech Support!']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['Analog: 2048 x 1536Digital: 4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-5988-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,['Accessories:1 x Driver CD1 x Installation Guide1 x Single Slot Bracket1 x DVI-I to VGA Adapter 2 x MiniDP to DP1 x MiniDP to MiniHDMI1 x MiniDP to DVI-I1 x 4-Pin(2) to 6Pin Adapter2 x 6-Pin(2) to 8Pin Adapter1 x Probe-It Connector1 x Special EVGA T-Shirt1 x EVGA Gaming Poster1 x Powered By EVGA Case Badge1 x EVGA Enthusiast Built Sticker'],['6-Pin / 8-Pin'],['400MHz'],,"['2-Way, 3-Way, or 4-Way SLI']",,['Dual Slot'],['2048 Stream Processors'],['Max Power Draw: 300WRecommended PSU: 500W'],['165W'],,['Yes'],(13)
,['1393 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],['Hybrid Cooler'],['1291 MHz'],['1 x DVI-I'],"['April 03, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA GSYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Duallink DVIPCI Express 3.0']",,['GeForce GTX 980 Hybrid'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['04G-P4-1989-KR'],['4'],['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['500 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.']",,,['Yes'],0 reviews
,['1216 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],,['1126 MHz'],['1 x DVI-I'],"['September 11, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],"['NVIDIA Dynamic Super Resolution TechnologyNVIDIA MFAA TechnologyNVIDIA GameWorks TechnologyNVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyMicrosoft DirectX 12NVIDIA GPU Boost 2.0NVIDIA Adaptive Vertical SyncNVIDIA Surround TechnologyNVIDIA SLI ReadyNVIDIA CUDA TechnologyOpenGL 4.4 SupportOpenCL SupportHDMI 2.0, DisplayPort 1.2 and Dual-link DVIPCI Express 3.0']",,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['04G-P4-1980-KR'],['4'],['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",,,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['500 Watt or greater power supply.****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2GHz processor.']",['165W'],,['Yes'],(2)
,['1190 MHz'],['MSI'],,"['10.91"" x 5.31""']",['NVIDIA'],['Double Fans'],['1102 MHz'],['1 x Dual-link DVI-I'],"['October 23, 2020']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],"['Armor 2X Thermal Design- Delivers more airflow than traditional single fan thermal design.- Huge heat sink provides better heat dissipation.Propeller Blade Technology- Produce 20% more airflow than traditional fan design.- Produces less noise than traditional fan designs.Airflow Control technology- Deflects more airflow to heatpipes and improves airflow efficiency.- Increases the heatsink area to enhance dissipation efficiency.Military Class 4 Components- Certified to MIL-STD-810G standards for top stability and quality.- Built with Hi-c CAP, Solid CAP, and New SFC components.']",['ATX'],['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0'],,['277 mm'],['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['GTX 980TI 6GD5T'],['4'],['OpenGL 4.5'],,,,,['2 x 8-Pin'],['400MHz'],,['Quad SLI'],,['Dual Slot'],['2816 Stream Processors'],['Power Consumption: 250WRecommended PSU: 600W'],['260W'],,['Yes'],0 reviews
,['1317MHz (OC Mode)1291MHz (Gaming Mode)1241MHz (Silent Mode)'],['MSI'],['2048'],"['10.98"" x 5.51""']",['NVIDIA'],['Double Fans'],['1216MHz  (OC Mode)1190MHz (Gaming Mode)1140MHz (Silent Mode)'],['1 x DVI'],"['May 09, 2019']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],['OC ModeMaximum Performance through higher clock speeds and increased fan performanceGaming Mode (Default)The best balance between in-game performance and thermalSilent ModeThe best environment for minimal fan noise'],,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI'],['PCI Express 3.0 x16'],,['279 mm'],['4096 x 2160'],['256-Bit'],['4GB'],['GDDR5'],['GTX 980 GAMING 4G'],,['OpenGL 4.4'],,,,,['2 x 8-Pin'],,,['Quad SLI'],,['Dual Slot'],,['Minimum 500W Power Supply'],['165W'],,['Yes'],0 reviews
,['N/A'],,['1792'],,['NVIDIA'],['Triple Fans'],['1127MHz'],['1 x DVI'],"['March 25, 2019']",,['3 x DisplayPort'],,,,,,,,['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,,"['December 18, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1)
,,['EVGA'],,,['NVIDIA'],['Double Fans'],,,"['December 18, 2019']",,,,,,,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],,,,,,,,['6GB'],,,,,,['GTX 980 SC'],,,,,,,,,,,['260W'],,,0 reviews
['Yes'],['1291 MHz'],['EVGA'],['2816'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1190 MHz'],['1 x DVI'],"['September 11, 2019']",['DirectX 12'],['3 x DisplayPort 1.2'],['Yes'],['7010 MHz'],,,['GeForce GTX 980 Ti'],['NVIDIA GeForce GTX 900 Series'],['Yes'],['1 x HDMI 2.0'],['PCI Express 3.0 x16'],,,['4096 x 2160'],['384-Bit'],['6GB'],['GDDR5'],['06G-P4-4996-KR'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",['GTX 980 Ti FTW ACX 2.0+'],,,['2 x 8-Pin'],['400MHz'],,['Quad SLI'],,['Dual Slot'],,['Max Power Draw: 275W. Recommended PSU: 600W'],['260W'],,['Yes'],0 reviews
,['1216 MHz'],['EVGA'],['2048'],"['10.50"" x 4.38""']",['NVIDIA'],,['1126 MHz'],['1 x DVI'],"['April 28, 2020']",['DirectX 12'],['3 x DisplayPort'],['Yes'],['7010 MHz'],,,['GeForce GTX 980'],['NVIDIA GeForce GTX 900 Series'],,['1 x HDMI'],['PCI Express 3.0'],,,,['256-Bit'],['4GB'],['GDDR5'],['04G-P4-1980-KR'],['4'],['OpenGL 4.4'],"['Windows 8 32/64bit, Windows 7 32/64bit, Windows Vista 32/64bit']",['GTX 980 Reference'],,,['2 x 6-Pin'],,,['SLI Ready'],,['Dual Slot'],,"['500 Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['165W'],,['Yes'],0 reviews
